Id,FieldId,FieldPit,PitName,FieldRegion,RegionName,FieldBlendrec,BlendName,FieldPath,PathName,FieldBean,BeanName,FieldInvbean,InvBeanName,FieldHaul,FieldOre,FieldDumpfeed,FieldDumpcapy,FieldBinsize,FieldXloc,FieldYloc,FieldPathix,FieldTimedump,FieldZloc,FieldSignid,FieldUnit,Unit,FieldLoad,Load,FieldIstiedown,FieldStatus,Status,FieldLinestat,Linestat,FieldSpillage,FieldSignpost,FieldShoptype,Shoptype,FieldDumpqueue,FieldPctcapy,FieldBays,FieldNopenalty,FieldTimelast,FieldRadius,FieldGpstype,Gpstype,FieldReason
1396988,NDO_SFCO_TR04,1184488,DLB,1259288,MINA,-1,,3578168,,-1,,-1,,0,0,0,10000000000,0,99149,98405,103,60,3603.0,122,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,1,245,Otro,0,100,0,0,0,50,396,Punto Interm.,-1
1398688,NDO_SFCO_TR05,1184488,DLB,1259288,MINA,-1,,3474944,,-1,,-1,,0,0,0,10000000000,0,99170,98133,104,60,3626.0,85,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,50,396,Punto Interm.,-1
1400388,NDO_SFCO_TR11,1184488,DLB,1259288,MINA,-1,,3745148,,-1,,-1,,0,0,0,10000000000,0,98875,97971,105,60,3600.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1402088,NDO_SFCO_TR12,1184488,DLB,1259288,MINA,-1,,3723896,,-1,,-1,,0,0,0,10000000000,0,98754,98300,106,60,3557.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1403788,NDO_STK3600_TR01,1184488,DLB,1259288,MINA,-1,,3383864,,-1,,-1,,0,0,0,10000000000,0,99373,98155,107,60,3645.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1405488,NDO_STK3600_TR02,1184488,DLB,1259288,MINA,-1,,3377792,,-1,,-1,,0,0,0,10000000000,0,99207,98008,108,60,3640.0,86,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,30,396,Punto Interm.,-1
1407188,NDO_STKDON_TR01,1184488,DLB,1259288,MINA,-1,,3444584,,-1,,-1,,0,0,0,10000000000,0,100048,100438,109,60,3525.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1408888,NDO_INF7_TR13,1184488,DLB,1216788,INFIERNILLO 7A,-1,,-1,,-1,,-1,,0,0,0,10000000000,0,100205,99260,65535,60,3233.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1410588,NDO_STKDON_TR03,1184488,DLB,1259288,MINA,-1,,3396008,,-1,,-1,,0,0,0,10000000000,0,99849,100530,110,60,3545.0,65,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,1,245,Otro,0,100,0,0,0,27,396,Punto Interm.,-1
1412288,NDO-3475-05,1184488,DLB,1259288,MINA,-1,,3453692,,-1,,-1,,0,0,0,10000000000,0,97508,97927,111,60,3425.0,38,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,50,396,Punto Interm.,-1
1413988,NDO-3475-07,1184488,DLB,1259288,MINA,-1,,3456728,,-1,,-1,,0,0,0,10000000000,0,97767,97388,112,60,3382.0,3475,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,50,396,Punto Interm.,-1
1415688,NDO-3475-08,1184488,DLB,1259288,MINA,-1,,3459764,,-1,,-1,,0,0,0,10000000000,0,97852,97112,113,60,3362.4,82,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,50,396,Punto Interm.,-1
1417388,NDO-3475-6,1184488,DLB,1259288,MINA,-1,,3462800,,-1,,-1,,0,0,0,10000000000,0,98011,97376,114,60,3475.0,52,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,50,396,Punto Interm.,-1
1419088,NDO-3505-11,1184488,DLB,1259288,MINA,-1,,3784616,,-1,,-1,,0,0,0,10000000000,0,98088,97411,115,60,3500.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1420788,NDO-3505-5,1184488,DLB,1259288,MINA,-1,,3596384,,-1,,-1,,0,0,0,10000000000,0,98217,97365,116,60,3492.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1424188,NDO-3535-03,1184488,DLB,1259288,MINA,-1,,3660140,,-1,,-1,,0,0,0,10000000000,0,98212,98242,117,60,3530.0,51,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,28,396,Punto Interm.,-1
1425888,NDO-3535-06,1184488,DLB,1259288,MINA,-1,,3705680,,-1,,-1,,0,0,0,10000000000,0,98257,98546,118,60,3510.0,55,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,30,396,Punto Interm.,-1
1427588,NDO-3535-07,1184488,DLB,1259288,MINA,-1,,3736040,,-1,,-1,,0,0,0,10000000000,0,98368,98025,119,60,3535.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1429288,NDO-3535-09,1184488,DLB,1259288,MINA,-1,,3726932,,-1,,-1,,0,0,0,10000000000,0,97855,98165,120,60,3535.0,56,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,40,396,Punto Interm.,-1
1430988,NDO_BGAR_TR11,1184488,DLB,1259288,MINA,-1,,3766400,,-1,,-1,,0,0,0,10000000000,0,98543,98827,121,60,3480.0,42,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,1,245,Otro,0,100,0,0,0,50,396,Punto Interm.,-1
1432688,NDO_BGAR_TR10,1184488,DLB,1259288,MINA,-1,,3775508,,-1,,-1,,0,0,0,10000000000,0,98952,98897,122,60,3435.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1434388,NDO-3535-16,1184488,DLB,1259288,MINA,-1,,3748184,,-1,,-1,,0,0,0,10000000000,0,98197,97959,123,60,3535.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
